100,19088.800000
760,436086.133333
1420,1426080.533333
2080,3204936.133333
2740,6102855.533333
3400,10145747.066667
4060,15346583.266667
4720,22572099.866667
5380,29671494.466667
6040,38514372.200000
6700,48690700.133333
7360,60541697.066667
8020,72638822.000000
8680,85261944.400000
9340,99576180.600000
