0,84.960000
833,191045.060000
1666,439046.640000
2499,589589.160000
3332,975539.980000
4165,963286.700000
4998,1323400.800000
5831,1714325.020000
6664,2133564.240000
7497,2570529.980000
8330,2107088.340000
9163,2437956.680000
9996,2813207.440000
10829,3161819.200000
11662,3540042.440000
12495,3938945.840000
13328,4345246.720000
14161,4786417.560000
14994,5229519.200000
15827,5702879.240000
16660,4478383.340000
17493,4845550.820000
18326,5197455.120000
19159,5560080.020000
19992,5965549.260000
20825,6312745.760000
21658,6707063.360000
22491,7125478.300000
23324,7496800.060000
24157,7905172.480000
24990,8908016.780000
