0,427.480000
833,587513.320000
1666,1235533.380000
2499,1443588.400000
3332,2451365.000000
4165,2298610.880000
4998,3124897.520000
5831,4083659.980000
6664,5235962.480000
7497,6460413.320000
8330,4469391.700000
9163,5259201.680000
9996,6114384.140000
10829,7020124.980000
11662,7971435.040000
12495,9023277.480000
13328,10147178.280000
14161,11283298.380000
14994,12531790.720000
15827,13823475.820000
16660,9647170.880000
17493,10553969.220000
18326,11370985.860000
19159,12255640.180000
19992,13186609.220000
20825,14170589.180000
21658,15258234.960000
22491,21908675.820000
23324,17214001.540000
24157,18373706.660000
24990,19466483.280000
