0,97.480000
833,71130.800000
1666,180524.140000
2499,337887.480000
3332,467361.660000
4165,578066.720000
4998,718790.000000
5831,868796.560000
6664,1011968.220000
7497,1141449.180000
8330,1292732.500000
9163,1458237.480000
9996,1625749.180000
10829,1776869.920000
11662,1929558.360000
12495,2086057.520000
13328,2261769.160000
14161,2387614.960000
14994,2560307.440000
15827,2717694.900000
16660,2869192.540000
17493,3025416.580000
18326,3202325.860000
19159,3382633.480000
19992,3558208.360000
20825,3720714.320000
21658,3894945.780000
22491,4049024.180000
23324,4218122.620000
24157,4388278.360000
24990,4555664.100000
