0,151.720000
833,81227.460000
1666,228647.480000
2499,343814.080000
3332,518636.720000
4165,684181.640000
4998,754505.840000
5831,963489.160000
6664,1139740.040000
7497,1348253.320000
8330,1517829.140000
9163,1525866.760000
9996,1696819.120000
10829,1880527.580000
11662,2090999.220000
12495,2280309.140000
13328,2478979.180000
14161,2702721.700000
14994,2928379.260000
15827,3154465.100000
16660,3241820.020000
17493,3128901.540000
18326,3339743.260000
19159,3514244.960000
19992,3723939.940000
20825,3908413.320000
21658,4129983.280000
22491,4354248.340000
23324,4567225.000000
24157,4883999.960000
24990,5001164.960000
