0,749.200000
833,77247.400000
1666,199434.160000
2499,347097.500000
3332,476616.740000
4165,640159.980000
4998,766380.920000
5831,923558.260000
6664,1383500.880000
7497,1221328.380000
8330,1382636.560000
9163,1527479.180000
9996,1698659.980000
10829,1866849.960000
11662,2030519.920000
12495,2197007.540000
13328,2432682.580000
14161,2528950.000000
14994,2741323.280000
15827,2861580.020000
16660,3040685.020000
17493,3196764.980000
18326,3359561.640000
19159,3554502.500000
19992,3725830.040000
20825,3898412.620000
21658,4071831.620000
22491,4236269.940000
23324,4402035.120000
24157,4589053.280000
24990,4767909.160000
